NO,YEAR,Y_distress,X1_gross_profit,X2_net_profit_margin,X3_current_ratio,X4_quick_ratio,X5_cash_ratio,X6_receivable_turnover,X7_inventory_turnover,X8_leverage_asset,X9_leverage_equity,X10_dscr,X11_asset_coverage,X12_mbv,X13_indep_commissioner,X14_board_diversity,X15_corruption_index,SHARE_CODE,IEQ_equity_to_liability,equity_negative,equity_negative_2yr,X1_gross_profit_frac,X2_net_profit_margin_frac,X8_leverage_asset_frac,X9_leverage_equity_frac,flag_extreme_X1_gross_profit,flag_extreme_X2_net_profit_margin,flag_extreme_X3_current_ratio,flag_extreme_X4_quick_ratio,flag_extreme_X5_cash_ratio,flag_extreme_X6_receivable_turnover,flag_extreme_X7_inventory_turnover,flag_extreme_X8_leverage_asset,flag_extreme_IEQ_equity_to_liability,flag_extreme_X10_dscr,flag_extreme_X11_asset_coverage,flag_extreme_X12_mbv,n_extreme_flags
55,2017,0,21.9,0.55,1.6,1.46,0.6618018904622023,4.7,19.41,49.59,318.56,0.06155840783205627,1.2430854846013406,2.875809740357726,0.3333333333333333,0.5,37,ABMM,0.3139126067302863,0,0.0,0.21899999999999997,0.0055000000000000005,0.4959,3.1856,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2018,0,22.52,8.7,1.46,1.32,0.7051447023752201,5.75,19.78,42.45,145.92,0.14964790830198818,1.6499138648238612,1.7325857949963743,0.5,0.0,38,ABMM,0.6853070175438597,0,0.0,0.22519999999999998,0.087,0.42450000000000004,1.4591999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2019,0,18.12,0.66,1.2,1.07,0.4705734744613173,4.94,16.08,47.26,164.65,0.0895285292889378,1.6248049339287765,1.2341703502724883,0.6,0.2,40,ABMM,0.6073489219556635,0,0.0,0.1812,0.0066,0.47259999999999996,1.6465,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2020,0,16.65,-6.22,1.2,1.05,0.41622064599383324,4.7,14.99,52.29,267.43,0.06262796309715522,1.4015653669366466,0.9213756559152092,0.42857142857142855,0.16666666666666666,37,ABMM,0.37392962644430316,0,0.0,0.16649999999999998,-0.0622,0.5229,2.6743,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2021,0,35.73,18.22,1.65,1.52,0.7918807286565144,6.6,16.97,37.39,108.62,0.44771877428266427,1.9388802962543097,0.7687274958092445,0.5,0.2,38,ABMM,0.9206407659731173,0,0.0,0.35729999999999995,0.1822,0.3739,1.0862,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2022,0,35.96,23.65,1.15,1.06,0.5202446233991653,6.7,19.42,47.35,152.02,0.27649359230517784,1.8254270968882391,0.9395178462012694,0.3333333333333333,0.4,34,ABMM,0.6578081831337982,0,0.0,0.35960000000000003,0.2365,0.47350000000000003,1.5202,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2023,0,26.17,21.14,0.99,0.9,0.30751492902471833,4.88,20.24,48.23,137.06,0.2162534691204827,1.9906625986059219,0.8011825446817359,0.25,0.0,34,ABMM,0.7296074711805048,0,0.0,0.26170000000000004,0.2114,0.48229999999999995,1.3706,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2013,0,48.99,12.91,3.98,0.81,0.37637992567554546,139.31,2.06,1.42,1.84,1.1074708134294016,16.42954849909139,5.282437092503952,0.3333333333333333,0.0,32,ACES,54.34782608695652,0,,0.4899,0.1291,0.014199999999999999,0.0184,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2014,0,47.62,12.26,5.09,1.45,0.9317139380285329,202.92,1.69,0.9,1.15,1.141067556782794,12.495071142294499,5.780206187291788,0.3333333333333333,0.0,34,ACES,86.95652173913044,0,0.0,0.47619999999999996,0.1226,0.009000000000000001,0.0115,0,0,0,0,0,1,0,0,0,0,0,0,1
81,2015,0,46.84,12.33,5.98,2.07,1.5121931107706221,264.0,1.67,0.71,0.88,1.1560620739693215,12.60960910971372,5.382156370367568,0.4,0.0,36,ACES,113.63636363636363,0,0.0,0.46840000000000004,0.1233,0.0070999999999999995,0.0088,0,0,0,0,0,1,0,0,0,0,0,0,1
80,2016,0,47.06,14.31,7.26,2.4,1.8193392077652306,222.89,1.57,0.14,0.18,1.1569003167040635,11.379673940318307,4.6971233358837,0.5,0.0,37,ACES,555.5555555555555,0,0.0,0.4706,0.1431,0.0014000000000000002,0.0018,0,0,0,0,0,1,0,0,0,0,0,0,1
79,2017,0,47.14,13.15,7.02,2.51,1.9073585601832708,100.67,1.63,0.47,0.59,1.0249293518772429,8.974422852735577,5.642697903236433,0.3333333333333333,0.0,37,ACES,169.49152542372883,0,0.0,0.4714,0.1315,0.004699999999999999,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2018,0,47.0,13.48,5.02,1.78,1.0333064834678076,114.48,1.72,12.48,17.48,0.7075651437197548,5.665269708159032,6.109985600172536,0.4,0.0,38,ACES,5.720823798627002,0,0.0,0.47,0.1348,0.12480000000000001,0.1748,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2019,0,47.19,12.57,5.58,1.84,1.6112815594788918,129.7,1.66,13.08,18.58,0.6882937434562619,4.955822319550642,5.482805402512552,0.4,0.16666666666666666,40,ACES,5.382131324004306,0,0.0,0.4719,0.1257,0.1308,0.1858,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2020,0,48.81,9.87,5.96,2.84,2.6295981699381286,63.79,1.44,12.19,16.92,0.48127373297444964,5.4260295551525575,5.632111050686206,0.3333333333333333,0.0,37,ACES,5.910165484633569,0,0.0,0.48810000000000003,0.0987,0.1219,0.16920000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2021,0,48.55,10.77,7.19,3.74,3.5385013605934383,62.24,1.4,12.22,15.71,0.5566045191209499,7.415417650576114,3.9347692423892533,0.3333333333333333,0.25,38,ACES,6.365372374283895,0,0.0,0.4855,0.10769999999999999,0.1222,0.15710000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2022,0,47.77,9.96,8.01,3.55,3.1852770493175626,83.59,1.39,10.42,12.73,0.6334194037755587,10.192895797582208,1.4335046002819123,0.5,0.0,34,ACES,7.855459544383347,0,0.0,0.4777,0.09960000000000001,0.1042,0.1273,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2023,0,48.06,10.04,7.42,3.54,3.0394358441778455,51.85,1.42,12.22,15.32,0.6216610187807253,8.701743549965483,1.9959919198497502,0.4,0.1,34,ACES,6.527415143603133,0,0.0,0.4806,0.10039999999999999,0.1222,0.1532,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2013,0,20.49,9.78,1.48,0.0,0.06810816656347166,2.16,0.0,7.88,18.25,0.2074783127122204,25.796048035576252,1.7753826478937886,0.5,0.25,32,ACST,5.47945205479452,0,,0.20489999999999997,0.0978,0.0788,0.1825,0,0,0,1,0,0,0,0,0,0,0,0,1
106,2014,0,18.43,7.68,1.57,1.56,0.06414620768109361,2.08,0.0,15.45,35.16,0.2138535849395689,13.105754775564645,2.8771757501457174,0.3333333333333333,0.14285714285714285,34,ACST,2.8441410693970424,0,0.0,0.1843,0.0768,0.1545,0.35159999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2015,0,16.54,3.11,1.33,1.32,0.050585007174498306,1.59,149.42,19.91,57.77,0.10352045129084268,11.189097652179244,2.2711582455828982,0.4,0.0,36,ACST,1.7310022503029254,0,0.0,0.1654,0.0311,0.1991,0.5777,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2016,0,15.59,3.77,1.8,1.79,0.11946360442585559,1.5,487.09,11.68,22.46,0.15150098257326036,36.540942860264394,1.5170320275125362,0.0,0.5,37,ACST,4.452359750667854,0,0.0,0.1559,0.0377,0.1168,0.22460000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2017,0,15.39,5.08,1.27,1.27,0.05803220489412958,1.31,671.23,34.55,127.57,0.08030336862606452,9.845927047555737,1.198223956546638,0.4,0.2857142857142857,37,ACST,0.7838833581563065,0,0.0,0.1539,0.0508,0.3455,1.2756999999999998,0,0,0,0,0,0,1,0,0,0,0,0,1
102,2018,0,18.77,0.57,1.1,1.09,0.030075974071234406,0.84,169.75,34.8,217.98,0.06628424051460544,14.391333320819177,0.7628997338787056,0.4,0.2,38,ACST,0.45875768419121027,0,0.0,0.1877,0.005699999999999999,0.348,2.1797999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2019,0,-2.53,-28.67,0.95,0.94,0.018185838405910204,0.57,121.7,39.26,1431.59,-0.04235956481680245,2.7349248741846988,2.3701810971948785,0.4,0.25,40,ACST,0.06985240187483847,0,0.0,-0.0253,-0.2867,0.3926,14.3159,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2020,0,-24.56,-111.26,0.84,0.83,0.02801243385688089,0.25,37.17,33.75,318.17,-0.3961932192243784,3.924239005856925,8.724664230693264,0.4,0.0,37,ACST,0.3142973881887041,0,0.0,-0.24559999999999998,-1.1126,0.3375,3.1817,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2021,0,-9.88,-46.39,1.4,1.38,0.3659912889701415,1.17,40.5,2.08,4.62,-0.4506816671093235,16.022431366212924,2.3856857970245517,0.5,0.0,38,ACST,21.645021645021647,0,0.0,-0.09880000000000001,-0.4639,0.0208,0.0462,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2022,0,-30.09,-43.56,1.15,1.13,0.14724123893666022,0.92,42.65,1.05,3.3,-0.3225731184206963,16.870316934720908,2.965736240251447,0.42857142857142855,0.0,34,ACST,30.3030303030303,0,0.0,-0.3009,-0.43560000000000004,0.0105,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2023,0,-1.7,-11.77,1.0,0.99,0.13763423616717727,1.65,88.18,1.66,10.94,-0.08605497745991933,10.282078323841665,4.352458762248868,0.42857142857142855,0.0,34,ACST,9.140767824497258,0,0.0,-0.017,-0.1177,0.0166,0.1094,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2013,0,56.02,11.08,1.81,1.03,0.21215855789570495,6.66,2.77,19.9,33.15,0.30875962923885053,4.919385398780271,4.455784090823256,0.3333333333333333,0.0,32,ADES,3.01659125188537,0,,0.5602,0.1108,0.19899999999999998,0.33149999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2014,0,51.64,5.37,1.52,0.93,0.18556806159258646,6.26,3.16,11.36,19.56,0.23980175010078494,6.415809280166101,2.7763887795444044,0.5,0.3333333333333333,34,ADES,5.112474437627812,0,0.0,0.5164,0.0537,0.11359999999999999,0.1956,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2015,0,50.72,4.9,1.39,0.89,0.12072390200838667,5.76,3.44,25.45,50.63,0.15110741715534623,3.616673705684073,1.8233915259966684,0.3333333333333333,0.0,36,ADES,1.9751135690302193,0,0.0,0.5072,0.049,0.2545,0.5063,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2016,0,51.8,6.3,1.64,1.15,0.1806759231784556,6.32,4.4,26.2,52.31,0.20445272794192504,3.0487035309793473,1.5346389585522962,0.5,0.0,37,ADES,1.9116803670426303,0,0.0,0.518,0.063,0.262,0.5231,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2017,0,53.89,4.7,1.2,0.76,0.10415781908464278,5.49,3.69,23.97,47.61,0.1773599376835041,3.454557059714397,1.2341491545137124,0.3333333333333333,0.16666666666666666,37,ADES,2.1003990758244067,0,0.0,0.5389,0.047,0.2397,0.47609999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2018,0,48.38,6.58,1.39,0.97,0.38976436468404746,5.82,3.82,19.43,35.53,0.22795165276529256,4.518545019129114,1.1261450300261042,0.5,0.3333333333333333,38,ADES,2.8145229383619474,0,0.0,0.4838,0.0658,0.1943,0.3553,0,0,0,0,0,0,0,0,0,0,0,0,0
